,Slope_minmax,TimeDiff_minmax,PeakVal1_error,PeakVal2_error,PeakHt1_error,PeakHt2_error,PeakTime1_error,PeakTime2_error,Min1_window,Min2_window,Max1_window,Max2_window,Var1_window,Var2_window,Mean1_window,Mean2_window,Sig_coef1,Sig_coef2,Sig_coef3,Sig_coef4,Max_fft,Min_fft,Mean_fft,Var_fft
0,0.04501800720288115,2.3324,0.3575,0.3025,0.014999999999999902,0.023333333333333317,1.7493,0.1666,0.2725,0.2825,0.315,0.315,0.00033312500000000014,0.0001843750000000015,0.2965,0.305,0.0,0.0,0.0,0.0,0.5000542800255174,-0.4018186390391669,0.30957653203456686,3.2496082041467846
1,0.11433144686446006,1.7493000000000003,0.2175,0.335,0.01999999999999999,0.053333333333333455,0.3332,1.4161,0.2675,0.2425,0.3625,0.335,0.0014668750000000016,0.0012268750000000014,0.3105,0.2865,-0.37984912746147026,1.2797474526711712,0.2971316633141672,-0.34301140961992016,0.46825687123944665,-1.504624490283272,0.2465848232136022,2.5187309249607166
2,0.19738664696647892,2.1658,0.4175,0.565,0.02791666666666659,0.03666666666666629,0.4998,0.833,0.3175,0.3525,0.4975,0.535,0.005454999999999995,0.005019999999999994,0.4084999999999999,0.45199999999999996,-0.16551438699169513,0.6901603933634269,0.17564666864984044,-0.2980239105565805,0.6199311601757442,-2.50156381847473,0.45212867721188393,10.193887992575965
3,0.060024009603841584,0.16660000000000003,0.5225,0.3275,0.03833333333333333,0.039999999999999813,0.2499,1.9159,0.3775,0.39,0.4425,0.4525,0.0006856249999999882,0.0006668749999999887,0.4080000000000001,0.42300000000000015,0.0,1.4154922171876074,0.8995688920178303,-0.16531420947558884,0.5385930770429483,-0.3196005871373337,0.44263487376552213,4.6861435351932474
4,0.08080155138978666,1.0829,0.455,0.49,0.026666666666666672,0.02999999999999986,0.6664,1.0829,0.42,0.4125,0.4775,0.4675,0.000573124999999997,0.0005406249999999977,0.4505000000000002,0.43750000000000017,0.0,-15.321016014163153,0.8994991214135819,1.2745043877526876,0.5561348842086353,-0.7361443315049454,0.4148910603006811,5.437811241415913
5,0.2486708969302007,0.5831,0.6025,0.665,0.06916666666666627,0.0724999999999999,1.1662,0.3332,0.585,0.59,0.6925,0.6925,0.002310625000000005,0.0022581250000000015,0.6279999999999999,0.6489999999999999,1.2741571463734136,-9.517202299498141,0.8995907334585281,-1.2738191769978164,0.6086103278222594,-0.9849757291304286,0.5530910857534155,8.91598608419344
6,0.11790430457897443,1.1662,0.585,0.6275,0.08958333333333324,0.10249999999999981,0.6664,1.5827,0.56,0.52,0.6575,0.6075,0.0020468749999999966,0.001798124999999997,0.6150000000000001,0.5680000000000001,-0.4497609449434392,0.9778403521125183,0.11831137899515021,-0.14145233430730508,0.6256669930613517,-0.6966588586603377,0.5663920401978136,10.313917140133888
7,0.09253701480592239,0.9996,0.275,0.3225,0.009583333333333166,0.030416666666666647,1.5827,0.9163,0.2725,0.26,0.3225,0.31,0.0004081249999999971,0.00037687499999999776,0.2965,0.284,1.2742254987542374,-15.99206865345139,0.8994859301704293,-1.2740592965500355,0.45464426208112535,-0.5388283623154013,0.25940779380459955,2.1401430131800967
8,0.1693534556679815,1.1662,0.2425,0.3075,0.03875000000000009,0.04249999999999965,1.4161,1.9159,0.2375,0.2375,0.355,0.335,0.002609374999999998,0.0019062499999999956,0.2975000000000001,0.2750000000000001,-0.7868822017401474,31.831695062075898,0.09136190498202294,-0.2744921868644135,0.4640698534375599,-0.33635066024061755,0.3091684891488002,2.3505165119841154
9,0.1243354484651003,1.1662000000000001,0.235,0.345,0.01166666666666663,0.043333333333333224,1.4161,1.9992,0.21,0.21,0.3175,0.3175,0.003164375000000001,0.002901875000000001,0.251,0.2685,-0.45351369049658374,1.7446000498391108,0.30793975075958974,-0.3208846257094831,0.44895093713411394,-0.7039737082886802,0.27762064887909,2.05398594198262
10,0.2025810324129652,0.3332,0.9075,0.905,0.05541666666666678,0.08874999999999988,1.4994,1.0829,0.8925,0.8925,0.9575,0.96,0.000946875000000002,0.0008456250000000041,0.9225000000000001,0.9360000000000002,0.0,0.7402110066396683,0.49410427510031124,-0.015270098459618514,0.7176633306272073,-0.26373395975679265,0.9116214970367483,23.927431662807145
11,0.2150860344137655,1.4993999999999998,0.5675,0.4125,0.029583333333333184,0.053750000000000187,1.9992,1.3328,0.305,0.33,0.445,0.4625,0.003317499999999999,0.003041875000000001,0.3715,0.4029999999999999,-0.25363745181756814,1.481332910211392,0.22986405085774372,-0.2721862853691369,0.5434467356547278,-2.1645506764439197,0.3401688556658132,5.08900306630168
12,0.2264542180508567,0.9163000000000001,0.2275,0.2325,0.023333333333333345,0.042083333333333445,0.9996,1.7493,0.2475,0.2375,0.3375,0.32,0.0013043750000000045,0.0012043750000000045,0.2955,0.27549999999999997,-0.3829507253922421,2.1829771347939846,0.3277973445989613,-0.30347712208906236,0.45140923404112676,-0.11474836600143798,0.32115818586237727,2.080572836320253
13,0.19174336401227154,1.4994,0.2025,0.385,0.012500000000000067,0.02208333333333312,0.4998,2.0825,0.22,0.24,0.315,0.3375,0.001511250000000003,0.0014231250000000023,0.26849999999999996,0.2919999999999999,-0.46711185264600835,25.86168442418948,0.028244236752671032,-0.2954613686433849,0.4431043120837488,-1.021174860163942,0.26607539455005624,2.0196818010816986
14,0.1250500200080033,0.4998,0.5125,0.5375,0.04000000000000026,0.040833333333333055,0.833,0.4165,0.385,0.405,0.4975,0.5125,0.002048124999999992,0.001984374999999993,0.4370000000000001,0.4625000000000002,0.0,11.27659865838543,0.8995987244557707,-0.1813386194176692,0.5572220862226273,-0.29353903485805677,0.4804218118029329,5.50291071607732
15,0.05522208883553421,2.0825,0.4525,0.4875,0.07125000000000004,0.08124999999999988,0.2499,1.9992,0.44,0.4,0.515,0.465,0.0008625000000000011,0.0008268749999999995,0.4725,0.429,0.0,0.0,0.0,0.0,0.5695458037619113,-0.4281125623502081,0.43490283056446094,6.148624111300353
16,0.1650660264105642,0.6664,0.4475,0.4225,0.0674999999999999,0.08041666666666675,1.4994,1.0829,0.4175,0.4225,0.4875,0.4825,0.0010718749999999947,0.0007981249999999949,0.45249999999999996,0.45450000000000007,-0.7072831954859864,1.0819691938805092,0.7755289304118902,-0.19824044715043965,0.5515168096099554,-0.47593487042840793,0.4154885777555567,5.198637575087996
17,0.2743954724747041,1.1662000000000001,0.2625,0.4275,0.04875000000000013,0.06499999999999972,0.5831,1.9992,0.1825,0.1675,0.345,0.305,0.004264375000000006,0.0033324999999999987,0.26350000000000007,0.22800000000000006,-0.46310069777498764,40.40593883893306,0.16326798023208197,-0.2594584991533008,0.47910270326737614,-1.0395699754211791,0.3074119550548227,2.813671639889371
