,Slope_minmax,TimeDiff_minmax,PeakVal1_error,PeakVal2_error,PeakHt1_error,PeakHt2_error,PeakTime1_error,PeakTime2_error,Min1_window,Min2_window,Max1_window,Max2_window,Var1_window,Var2_window,Mean1_window,Mean2_window,Sig_coef1,Sig_coef2,Sig_coef3,Sig_coef4,Max_fft,Min_fft,Mean_fft,Var_fft
0,0.10004001600640265,0.2499,0.6775,0.73,0.012499999999999845,0.04166666666666652,1.7493,0.6664,0.6825,0.6875,0.73,0.73,0.00043562499999999873,0.00034062499999999864,0.7055,0.7150000000000001,0.0,1.416171449159182,0.8995905769785667,-0.07531739528879472,0.65746002799621,-0.1512780051595829,0.6991908070127043,13.736308882055587
1,0.09003601440576203,0.16660000000000003,0.405,0.51,0.043749999999999734,0.04374999999999979,1.4994,0.1666,0.46,0.465,0.5125,0.5125,0.0005218749999999971,0.0003968749999999997,0.485,0.49499999999999994,0.0,9.671439523864061,0.8996160362516957,-0.18751584559546253,0.5510452627559184,-0.21541232555492773,0.45992631749609764,5.158259865807811
2,0.2320928371348539,1.2495,0.315,0.55,0.04833333333333334,0.062083333333332824,0.1666,1.1662,0.4275,0.41,0.5325,0.5175,0.0019549999999999867,0.0018018749999999901,0.48100000000000004,0.45650000000000013,0.0,-30.432170765499315,0.10085648710360019,1.2744659560779537,0.5546204842941016,-1.266357519998266,0.35465296051673,5.468448360930052
3,0.03354282889626438,1.4161000000000001,0.3475,0.32,0.005416666666666625,0.017916666666666747,1.7493,0.1666,0.3125,0.3275,0.33,0.345,5.1250000000000046e-05,5.124999999999963e-05,0.322,0.337,-0.7956160122350342,1.4262574321951007,0.33665221902733006,-0.2465168087249724,0.49907515754068277,-0.24924239953037158,0.30330980509352073,3.2164914954674635
4,0.12862287772251751,0.5831,0.505,0.4425,0.04250000000000009,0.11666666666666686,0.9996,1.4161,0.365,0.425,0.45,0.505,0.001315624999999992,0.001151874999999996,0.4149999999999999,0.4709999999999999,1.2742019532459496,-4.201373193439304,0.8996405977306624,-1.2739287440236713,0.5624965100129475,-0.46807139340552184,0.45061131875576704,5.749999439409191
5,0.18757503001200482,0.3332,0.44,0.4175,0.05416666666666625,0.11249999999999988,0.2499,1.2495,0.275,0.2475,0.3925,0.3675,0.0023481249999999943,0.0023481249999999943,0.3345000000000002,0.3055000000000002,1.2741778980759932,-11.008178090842604,0.8995709403186173,-1.273950376111053,0.5227592814422464,-1.0507414942836988,0.3841317116002768,4.085133244809708
6,0.030012004801920796,0.0833,0.395,0.375,0.017083333333333117,0.01833333333333309,0.4998,1.1662,0.3625,0.3625,0.395,0.3925,0.00019687500000000168,0.0001643750000000009,0.3799999999999999,0.37349999999999983,1.2742161068812103,-0.2326389763334008,0.8996563613470601,-1.2739874464809418,0.5238807359483014,-0.07706559480312317,0.3922616801077095,4.006872857652409
7,0.0,0.0,0.25,0.285,0.023333333333333373,0.049583333333333146,1.0829,0.7497,0.28,0.2725,0.345,0.335,0.0007299999999999973,0.0006574999999999957,0.3140000000000001,0.2995000000000001,0.0,11.94372238331191,0.8995907258749597,-0.2811914285100134,0.45736985637683103,-0.09379201559537384,0.3157622565147109,2.1760737806940726
8,0.21383553421368542,1.3328000000000002,0.4175,0.3375,0.0625,0.20499999999999996,1.9159,0.7497,0.1325,0.1325,0.3375,0.3375,0.012304999999999998,0.01183,0.25650000000000006,0.2185,-0.38183285698920544,0.7409764896095851,0.8084542132299393,-0.37169457208464535,0.4776032687709709,-1.4477623694954893,0.23344625551773807,2.7670661791180824
9,0.22884153661464582,0.6664,0.375,0.47,0.03833333333333333,0.06375000000000025,1.4994,0.5831,0.36,0.3775,0.4525,0.47,0.0013856250000000017,0.0013581249999999974,0.40449999999999997,0.42650000000000005,0.0,11.043620906700594,0.8996014931840876,-0.21015537125979106,0.528404800437,-0.4281540805732279,0.372148696287384,4.215519931184933
