,Slope_minmax,TimeDiff_minmax,PeakVal1_error,PeakVal2_error,PeakHt1_error,PeakHt2_error,PeakTime1_error,PeakTime2_error,Min1_window,Min2_window,Max1_window,Max2_window,Var1_window,Var2_window,Mean1_window,Mean2_window,Sig_coef1,Sig_coef2,Sig_coef3,Sig_coef4,Max_fft,Min_fft,Mean_fft,Var_fft
0,0.16206482593037216,0.833,0.3575,0.35,0.015833333333333255,0.10583333333333311,1.4994,0.7497,0.325,0.3275,0.4225,0.4225,0.002370624999999997,0.0019768749999999956,0.36899999999999994,0.38649999999999995,-0.5930259636131153,0.7168890008517634,0.5069335023497623,-0.25324743736194444,0.5148440415343035,-0.48244987511317794,0.3256612493194177,3.733592667358383
1,0.07503001200480205,0.16659999999999986,0.355,0.3625,1.1102230246251565e-16,0.059583333333333544,1.2495,2.0825,0.355,0.355,0.3625,0.355,1.1250000000000102e-05,0.0,0.35649999999999993,0.355,-0.6580750451043655,2.2926084635834783,0.0,-0.2561497718325073,0.51214018802354,-0.08960864712030892,0.33931772372277,3.614397232367597
2,0.0,0.0,0.61,0.225,0.03583333333333316,0.050416666666667026,0.1666,1.666,0.4225,0.4475,0.545,0.5725,0.0024925000000000177,0.0023800000000000067,0.4839999999999998,0.5139999999999999,0.0,4.396071400540719,0.8996512939330042,-0.22642032396960576,0.51214018802354,-0.30749999999999994,0.4869064255104052,3.9193071327966797
3,0.315126050420168,0.6664,0.735,0.6025,0.06083333333333352,0.06458333333333344,0.5831,1.5827,0.53,0.565,0.68,0.705,0.00343625,0.003304999999999995,0.6014999999999999,0.6365000000000001,0.0,7.133700959455052,0.8996372586954515,-0.10529811380651806,0.6332628376154016,-0.6886496170818399,0.6025394355063691,11.069044145326334
4,0.06002400960384152,0.7496999999999999,0.41,0.3775,0.03416666666666662,0.03749999999999981,1.0829,0.6664,0.325,0.335,0.4,0.41,0.0009637500000000041,0.0009425000000000027,0.35949999999999993,0.37649999999999995,1.274202893943684,-15.74838902927166,0.8994907498388346,-1.2739839553516008,0.5144380638681145,-0.4686523189638345,0.3799839402520721,3.686990955150509
5,0.3334667200213418,0.7497,0.375,0.23,0.05874999999999991,0.07916666666666672,1.5827,0.1666,0.18,0.1625,0.3425,0.315,0.004404375000000004,0.004089375000000003,0.267,0.23100000000000004,-0.4441148317853886,24.80048998466077,0.015441326591216997,-0.2853927223677126,0.4531675209025453,-1.4090354009381545,0.19781691112371289,2.2215280530068067
6,0.1465291999152602,1.4161,0.48,0.43,0.045000000000000095,0.06916666666666649,1.7493,0.2499,0.365,0.3625,0.5025,0.48,0.003298125000000001,0.0027031250000000015,0.4379999999999999,0.40999999999999986,-0.4188309476419962,1.70353519999876,0.40677083445486595,-0.20826075073227646,0.5538169391999147,-0.7809434702376241,0.42056417705551946,5.363505356310948
7,0.07669734560490862,0.7497,0.41,0.4,0.028749999999999887,0.040833333333333555,0.833,1.4161,0.3575,0.3575,0.4025,0.4025,0.0003987500000000018,0.00036687500000000153,0.376,0.38449999999999995,0.0,-1.4138174426984131,0.8996535859894527,1.2744713999010884,0.5276891656875,-0.35231968280608644,0.3700754658447793,4.1712483162464356
8,0.04501800720288086,0.1666,0.3825,0.54,0.03375000000000017,0.0445833333333332,1.666,0.2499,0.42,0.44,0.52,0.5375,0.0015687500000000063,0.0015393750000000017,0.46749999999999997,0.491,0.0,16.804676937540695,0.8995164443665707,-0.18742994623175474,0.5511310747471365,-0.25577778508438104,0.47769405546152216,5.1744042227100575
9,0.2701080432172869,0.4165,0.175,0.405,0.00624999999999995,0.09791666666666665,1.5827,0.4998,0.28,0.3025,0.4025,0.415,0.002520000000000004,0.0023174999999999992,0.337,0.364,0.0,8.36666360455389,0.8996277309059847,-0.29815346911251467,0.4404067961403957,-0.2585636924946649,0.3384521707240579,1.927402211465506
10,0.11164465786314524,2.0825,0.33,0.4625,0.012916666666666687,0.03583333333333316,1.3328,1.9159,0.3125,0.33,0.39,0.4075,0.0010106249999999879,0.000891874999999982,0.353,0.372,-0.3251528824906695,1.4624723250646887,0.19856730705229605,-0.29527000585607277,0.5082032504355589,-1.48650535423242,0.284553848808363,3.6213145237950126
11,0.08403361344537814,2.0825,0.2375,0.2,0.01333333333333328,0.01791666666666661,1.5827,0.6664,0.185,0.225,0.2125,0.2525,0.0001449999999999998,0.00013312499999999815,0.19949999999999998,0.23850000000000007,0.0,0.0,0.0,0.0,0.4199745839064948,-0.5744249945833179,0.2281539577034251,1.5749653549175973
12,0.10388770892972572,1.0829,0.3875,0.375,0.0183333333333332,0.026249999999999885,1.8326,1.5827,0.335,0.3225,0.385,0.375,0.00044562499999999924,0.0004143749999999999,0.35899999999999993,0.3465,-0.5645034328651884,1.3288827378317813,0.3583147056872224,-0.2641477117481413,0.4977078992712075,-0.7669978708869616,0.3074088022357583,3.19066941164131
